Name,Web,Linkedin Username,Total Followers,Total Employees
Zaha Hadid Architects,http://www.zaha-hadid.com/,Zaha-hadid-architects,"589,792",964
Foster + Partners,https://www.fosterandpartners.com/,foster-&-partners,"416,627","1,773"
David Chipperfield Architects,https://davidchipperfield.com/,David-chipperfield-architects,"45,672",231
Adjaye Associates,https://www.adjaye.com/,Adjaye-associates,"20,516",193
Grimshaw,https://grimshaw.global//,grimshaw,"63,731",568
Heatherwick Studio,http://www.heatherwick.com/,Heatherwick-studio,"51,719",220
Rogers Stirk Harbour + Partners,https://www.rsh-p.com/,rogers-stirk-harbour---partners,"34,370",179
Morris+Company,https://morrisand.company/,morrisandcompany,"16,288",69
Stallan-Brand,https://stallanbrand.com/,Stallan-brand,690,25
Farshid Moussavi Architecture,https://www.farshidmoussavi.com/,Farshid-moussavi-architecture,"2,382",
Make,https://www.makearchitects.com/,Make-architects,"33,494",171
BDP,https://www.bdp.com/,Bdp-building-design-partnership-ltd-,"48,198","1,054"
RMJM,https://www.rmjm.com/,rmjm,"45,338",327
Hawkins\Brown,https://www.hawkinsbrown.com/,Hawkins-brown-architects-llp,"28,728",283
Koto Design,https://kotodesign.co.uk/,Koto-design,508,4
Strom Architects,http://www.stromarchitects.com/,Strom-architects,854,11
Gregory Phillips Architects,https://gregoryphillips.com/,gregoryphillipsarchitects,65,
WilkinsonEyre,http://www.wilkinsoneyre.com/,Wilkinson-eyre-architects,"24,049",195
Mamou-Mani,https://mamou-mani.com/,Mamou-mani-ltd-,842,11
Amos Goldreich Architecture,https://www.agarchitecture.net/,Amos-goldreich-architecture,777,6
Broadway Malyan,https://www.broadwaymalyan.com/,Broadway-malyan,"34,045",408
Allford Hall Monaghan Morris,https://www.ahmm.co.uk/,Allford-hall-monaghan-morris,"17,312",403
McLean Quinlan,https://mcleanquinlan.com/,Mclean-quinlan,Manual Check,13
Allies and Morrison,https://www.alliesandmorrison.com/,Allies-and-morrison,"24,355",300
SHH,https://shh.co.uk/,shh,"4,868",234
Hyde + Hyde Architects,https://www.hydearchitects.com/,hyde---hyde-architects,"1,006",Manual Check
Chapman Taylor,https://www.chapmantaylor.com/,Chapman-taylor,"26,906",399
Carmody Groarke,https://www.carmodygroarke.com/,Carmody-groarke-limited,"1,679",29
Feilden Clegg Bradley Studios,http://www.fcbstudios.com/,Feilden-clegg-bradley-studios,"17,155",182
Mæ,https://www.mae.co.uk/,maearchitects,"1,500",44
Stanton Williams,https://www.stantonwilliams.com/,Stanton-williams,"6,699",79
Sheppard Robson,http://www.sheppardrobson.com/,Sheppard-robson,"19,276",364
Rural Office for Architecture,http://www.ruralofficeforarchitecture.co.uk/,Rural-office-for-architecture,167,8
Studio Indigo,https://studioindigo.co.uk/,Studio-indigo-interior-design-ltd,"4,546",46
Hopkins Architects,https://www.hopkins.co.uk/,Hopkins-architects,"21,643",182
Squire & Partners,http://www.squireandpartners.com/,Squire-and-partners,"12,196",197
Alison Brooks Architects,https://www.alisonbrooksarchitects.com/,Alison-brooks-architects-ltd,"4,041",18
Michaelis Boyd,https://www.michaelisboyd.com/,Michaelis-boyd-associates,"2,213",50
Conran & Partners,https://conranandpartners.com/,Conran-and-partners,"8,616",74
